Zona,ObjectId,et_x,et_y,et_order,ZoneId,zone_name
G2,26,25.270920,54.677200,243,12,Geltonoji 8-20h
G2,26,25.270660,54.677920,244,12,Geltonoji 8-20h
G2,26,25.270070,54.679540,245,12,Geltonoji 8-20h
KLG,70,21.125850,55.720600,3,54,Geltonoji 8-18h
G2,26,25.268480,54.681730,247,12,Geltonoji 8-20h
G2,26,25.268120,54.681740,248,12,Geltonoji 8-20h
G2,26,25.270980,54.677030,242,12,Geltonoji 8-20h
G2,26,25.269300,54.681650,246,12,Geltonoji 8-20h
G2,26,25.271610,54.675290,241,12,Geltonoji 8-20h
G2,26,25.279270,54.675580,235,12,Geltonoji 8-20h
G2,26,25.276620,54.677090,239,12,Geltonoji 8-20h
G2,26,25.277150,54.675310,238,12,Geltonoji 8-20h
G2,26,25.279280,54.675530,237,12,Geltonoji 8-20h
G2,26,25.279270,54.675580,236,12,Geltonoji 8-20h
G2,26,25.268050,54.681730,249,12,Geltonoji 8-20h
G2,26,25.279580,54.675610,234,12,Geltonoji 8-20h
G2,26,25.279610,54.675460,233,12,Geltonoji 8-20h
G2,26,25.276000,54.676870,240,12,Geltonoji 8-20h
G2,26,25.267490,54.681610,250,12,Geltonoji 8-20h
G2,26,25.267080,54.681520,256,12,Geltonoji 8-20h
G2,26,25.267230,54.681560,252,12,Geltonoji 8-20h
G2,26,25.265800,54.681250,269,12,Geltonoji 8-20h
G2,26,25.265840,54.681260,268,12,Geltonoji 8-20h
G2,26,25.265950,54.681280,267,12,Geltonoji 8-20h
G2,26,25.266250,54.681350,266,12,Geltonoji 8-20h
G2,26,25.266610,54.681430,265,12,Geltonoji 8-20h
G2,26,25.266670,54.681440,264,12,Geltonoji 8-20h
G2,26,25.266690,54.681450,263,12,Geltonoji 8-20h
G2,26,25.266720,54.681450,262,12,Geltonoji 8-20h
G2,26,25.266720,54.681450,261,12,Geltonoji 8-20h
G2,26,25.266930,54.681500,260,12,Geltonoji 8-20h
G2,26,25.266990,54.681510,259,12,Geltonoji 8-20h
G2,26,25.267020,54.681510,258,12,Geltonoji 8-20h
G2,26,25.267040,54.681520,257,12,Geltonoji 8-20h
G2,26,25.279820,54.675350,232,12,Geltonoji 8-20h
G2,26,25.267080,54.681520,255,12,Geltonoji 8-20h
G2,26,25.267080,54.681520,254,12,Geltonoji 8-20h
G2,26,25.267110,54.681530,253,12,Geltonoji 8-20h
G2,26,25.267380,54.681580,251,12,Geltonoji 8-20h
G2,26,25.279650,54.675290,231,12,Geltonoji 8-20h
G2,26,25.279740,54.672400,225,12,Geltonoji 8-20h
G2,26,25.277850,54.675130,229,12,Geltonoji 8-20h
G2,26,25.287850,54.674180,207,12,Geltonoji 8-20h
G2,26,25.288340,54.674140,206,12,Geltonoji 8-20h
G2,26,25.289090,54.674110,205,12,Geltonoji 8-20h
G2,26,25.289810,54.673960,204,12,Geltonoji 8-20h
G2,26,25.289910,54.673970,203,12,Geltonoji 8-20h
G2,26,25.289950,54.673970,202,12,Geltonoji 8-20h
G2,26,25.290020,54.673980,201,12,Geltonoji 8-20h
G2,26,25.290050,54.673980,200,12,Geltonoji 8-20h
G2,26,25.290100,54.673990,199,12,Geltonoji 8-20h
G2,26,25.290100,54.673990,198,12,Geltonoji 8-20h
G2,26,25.290140,54.674000,197,12,Geltonoji 8-20h
G2,26,25.290170,54.674010,196,12,Geltonoji 8-20h
G2,26,25.290290,54.674050,195,12,Geltonoji 8-20h
G2,26,25.290400,54.674080,194,12,Geltonoji 8-20h
G2,26,25.290400,54.674080,193,12,Geltonoji 8-20h
G2,26,25.290550,54.674120,192,12,Geltonoji 8-20h
G2,26,25.290670,54.674150,191,12,Geltonoji 8-20h
