"SHA1(sms_receive_source_phone)";"sms_receive_operator";"FROM_UNIXTIME(sms_receive_date)";"sms_receive_body"
"20177812748a721c6a2326900c96f71dc885ac63";"2";"2015-07-13 13:49:20";"Stop"
"f4cca0a557f9fe38519924d3416cd19eeece21f8";"2";"2015-11-27 12:02:16";"Stop"
"d46d2202fd15df7783006a7fc7c473f9772deaf6";"3";"2016-05-18 13:02:00";"Stop"
"9144aa6be91bdd5184cce423ed97490d829ae8b6";"1";"2017-04-05 01:16:25";"Start m"
"4018b1218b46803efea6c3dd4eaa91784fe890ab";"2";"2017-04-05 06:13:27";"Start g "
"35ca62e95a05d8ac4a5adb590c138723fec13a2c";"1";"2017-04-05 06:33:38";"Start r"
"4fe9e96748530356156f4483c674e9f0b8c37dd6";"1";"2017-04-05 06:34:44";"Start Z"
"4b6e27b1a875db269d7080238e19e816c3767a53";"2";"2017-04-05 06:52:20";"Start G"
"bd59e32bac4f90df90428b831e47cfa795943ca0";"2";"2017-04-05 06:56:46";"Start G"
"4b6e27b1a875db269d7080238e19e816c3767a53";"2";"2017-04-05 06:56:56";"Stop"
"310e42a02d0feb8eeeeaf8dac614b4a66a951ba9";"1";"2017-04-05 07:00:17";"Start G "
"64aded74c2bf2e1e95287b780feb742a18c59c4d";"1";"2017-04-05 07:03:12";"START G"
"2d8102a5d2934671500f56a7898c766a7b9a7a40";"3";"2017-04-05 07:04:33";"START G"
"ca12699eb52f649b8f089ed34d251ae86e7ec5b4";"1";"2017-04-05 07:05:23";"Start g"
"2420d6f91d861d9c76d46c38634dab5602f68edb";"1";"2017-04-05 07:11:30";"Start g "
"383cf3361174b2ece4a6f3cb82db359d697d4c5e";"1";"2017-04-05 07:13:10";"Start g"
"71132c8ceeddd4b2483f2f2b1861dc92f425d35f";"2";"2017-04-05 07:13:48";"Start Z"
"a7834a3bb3f146879758ae3a2e02f991d777c56e";"1";"2017-04-05 07:14:39";"STARTAS Z"
"282b811a2a5c6d7d22858a90736caa3923961e7e";"2";"2017-04-05 07:14:52";"Start R"
"35834255820a675028c22c200842075463d17e6e";"3";"2017-04-05 07:16:26";"Start g"
"d31fdbabd7d8b34b38ab145889de595d2e59540d";"1";"2017-04-05 07:17:12";"start g "
"f438a642e0877026295cded0c6085900f27d895c";"1";"2017-04-05 07:17:16";"Start g "
"aaaa849befc843b73bdd645ba6d8f623c38aeed9";"1";"2017-04-05 07:18:17";"Start g "
"34df5bbf640cfe289f6853eca3d7b9672d6fc24b";"2";"2017-04-05 07:19:03";"Start g"
"80a76900cdfe164bdfcc743e575a399d6d1c4a07";"2";"2017-04-05 07:20:14";"START Z"
"310e42a02d0feb8eeeeaf8dac614b4a66a951ba9";"1";"2017-04-05 07:20:21";"STOP"
"ea21bc423ed1103de2c2bed337f27677ccf019b3";"1";"2017-04-05 07:21:58";"Start g"
"7051e02451be697b5e2a01daf964b30b148083c3";"1";"2017-04-05 07:22:44";"Start g "
"365105861ae6f4be836313fe3953cdd2fa756fe4";"3";"2017-04-05 07:25:13";"Start R"
"5ef2be9a8dee2549e4611428a7fdcffbb66c87e1";"1";"2017-04-05 07:25:25";"START Z "
"ef6af1afd19b7dbfab97603b2fce348a4a00b3bd";"3";"2017-04-05 07:25:29";"Start z"
"ce5ccfba073c1b90f588fdcb024aa238cbf76669";"3";"2017-04-05 07:25:32";"START G"
"72a585870c11c37a4c3981dd88b529e2b49b869d";"1";"2017-04-05 07:29:34";"Start g"
"904281f528fee7546bbb5d9784388eaae457ab18";"3";"2017-04-05 07:29:44";"Start g"
"3a49842d29f4adb0662babdd45bdda951983de98";"1";"2017-04-05 07:29:49";"Start z"
"12b9312e3f272e7d8aa17616cd1610cc8db3e6f8";"1";"2017-04-05 07:30:02";"Start z"
"12590c8d4a056320f1594d2eb60e45198bc7a0f6";"1";"2017-04-05 07:30:16";"Start g"
"5996f3476686101fc2b7ad72dc0489aa8a5b3719";"2";"2017-04-05 07:30:29";"Start z"
"e933ec991dc2802edea58d9aea67163c207aab6d";"2";"2017-04-05 07:33:24";"Start G"
"f338eeb41b7188c13c71df7ab9c562e0db777f7c";"3";"2017-04-05 07:34:22";"Start z"
"9e8d13a956e463200bfdc9d1c2975f8ac06c4837";"2";"2017-04-05 07:34:24";"Start g"
"7c02e8dbfa2a36e25b17ccb48478ce99f6b320d8";"1";"2017-04-05 07:34:49";"Start g"
"3b43acc82b71eca3767051939fbe89cb1f950e5c";"2";"2017-04-05 07:35:19";"Start Z"
"d589d81de3da3a4d93a66b2b1b4089a2f0314068";"2";"2017-04-05 07:35:39";"Start m"
"5e32c3cd3150578eadc3320e43f75ec62dbae79b";"3";"2017-04-05 07:37:25";"Start M"
"1e288ba47c092f6cfde4cd7698437fa74b4b5e12";"1";"2017-04-05 07:37:58";"Start Z "
"f0dda4d81a43b0e8a5ecfd6b79d0c5e57ab1cbec";"1";"2017-04-05 07:38:06";"Start G"
"90da6200f3023952c134571b922c8471317858b1";"2";"2017-04-05 07:38:24";"Start"
"822f2e0b5cb721a4513a03ad5105a7b3be1fe87e";"1";"2017-04-05 07:38:44";"Start G"
"2cd952054b801a800f9c5bbc972580168008e934";"1";"2017-04-05 07:39:03";"Start r"
"fbe5ba7c2318a70912caec9a3c5988bad26393c7";"3";"2017-04-05 07:39:12";"Start g"
"7bb03e9b19b4b830903df7b66e8c9a963a77e8c8";"2";"2017-04-05 07:39:45";"Start g"
"e690f5c3f46f30e1c8270c2e2e16f81efada516b";"1";"2017-04-05 07:40:11";"START Z"
"312f93425d46594a7bf125c9406a741d977f62d1";"2";"2017-04-05 07:41:45";"Start g"
"8fe279edfaacdd437a0d0de336a3da57eb265ab3";"2";"2017-04-05 07:42:10";"Start z"
"a77a1366bf4ad44f97b77ecaafcb981ba532f440";"1";"2017-04-05 07:42:22";"Start Z"
"2d8102a5d2934671500f56a7898c766a7b9a7a40";"3";"2017-04-05 07:42:26";"STOP"
"4beade13cb9687514f98d58d5af63b2227864fe0";"3";"2017-04-05 07:42:38";"Start G"
"10cef05c9864b7bf80bd59163bdfa2cf0fc89b71";"1";"2017-04-05 07:42:44";"Start m"
"3489ed42ef0df03588cbebe156f674d805d84f12";"2";"2017-04-05 07:43:00";"Start z"
"17caee58aab57d733d2b7545033a4f0259e6d092";"3";"2017-04-05 07:43:14";"START G"
"dba3b0ea1b8399b0b0be3a127ab1af81d60bea6b";"2";"2017-04-05 07:44:06";"Stop"
"c8d9d9b513a0f613a93cb26c17a027cb452df6b9";"3";"2017-04-05 07:44:33";"START G"
